artist,influenced_by,link
Metallica,Black Sabbath,https://www.allmusic.com/artist/black-sabbath-mn0000771438
Metallica,Diamond Head,https://www.allmusic.com/artist/diamond-head-mn0000251604
Metallica,Misfits,https://www.allmusic.com/artist/misfits-mn0000891063
Metallica,Motörhead,https://www.allmusic.com/artist/mot%C3%B6rhead-mn0000501407
Metallica,Angel Witch,https://www.allmusic.com/artist/angel-witch-mn0000754879
Metallica,Budgie,https://www.allmusic.com/artist/budgie-mn0000623985
Metallica,Deep Purple,https://www.allmusic.com/artist/deep-purple-mn0000192382
Metallica,Iron Maiden,https://www.allmusic.com/artist/iron-maiden-mn0000098465
Metallica,Judas Priest,https://www.allmusic.com/artist/judas-priest-mn0000246611
Metallica,Saxon,https://www.allmusic.com/artist/saxon-mn0000259800
Metallica,House of Heavy,https://www.allmusic.com/artist/house-of-heavy-mn0001597052
Metallica,Samhain,https://www.allmusic.com/artist/samhain-mn0000832888
Metallica,Venom,https://www.allmusic.com/artist/venom-mn0000315403
Metallica,AC/DC,https://www.allmusic.com/artist/ac-dc-mn0000574772
Metallica,Aerosmith,https://www.allmusic.com/artist/aerosmith-mn0000604852
Metallica,Anvil,https://www.allmusic.com/artist/anvil-mn0000925852
Metallica,Blue Oyster Cult,https://www.allmusic.com/artist/blue-oyster-cult-mn0000061938
Metallica,G.B.H.,https://www.allmusic.com/artist/gbh-mn0000202235
Metallica,Killing Joke,https://www.allmusic.com/artist/killing-joke-mn0000081493
Metallica,Led Zeppelin,https://www.allmusic.com/artist/led-zeppelin-mn0000139026
Metallica,Lynyrd Skynyrd,https://www.allmusic.com/artist/lynyrd-skynyrd-mn0000170369
Metallica,Queen,https://www.allmusic.com/artist/queen-mn0000858827
Metallica,The Stooges,https://www.allmusic.com/artist/the-stooges-mn0000562304
Metallica,Thin Lizzy,https://www.allmusic.com/artist/thin-lizzy-mn0000590479
Metallica,UFO,https://www.allmusic.com/artist/ufo-mn0000809999
Metallica,Wishbone Ash,https://www.allmusic.com/artist/wishbone-ash-mn0000674873
Metallica,Accept,https://www.allmusic.com/artist/accept-mn0000925837
Metallica,Blitzkrieg,https://www.allmusic.com/artist/blitzkrieg-mn0000051319
Metallica,Ramones,https://www.allmusic.com/artist/ramones-mn0000490004
Metallica,Raven,https://www.allmusic.com/artist/raven-mn0000401166
